ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
118,GAS,1,TRUNK,65009,97009,5-08,8-12,8-10,09-14,
118,GAS,2,TRUNK,97009,65009,10-10,8-11,4-08,9-12,
118A,GAS,1,TRUNK,65009,96119,06-66,-,-,-,
118B,GAS,1,TRUNK,96111,65191,-,-,24-57,-,
119,GAS,1,TRUNK,65009,65009,09-13,12-18,12-15,15-17,Hougang St 21
12,GAS,1,TRUNK,77009,10499,09-10,09-14,10-12,12-14,
12,GAS,2,TRUNK,10499,77009,10-11,09-15,08-12,12-13,
12e,GAS,1,EXPRESS,77009,10499,30-30,30-30,30-30,-,
12e,GAS,2,EXPRESS,10499,77009,-,30-30,30-30,30-30,
136,GAS,1,TRUNK,54009,65009,09-13,10-13,10-15,15-19,
136,GAS,2,TRUNK,65009,54009,08-15,11-16,10-11,17-20,
15,GAS,1,TRUNK,77009,77009,04-09,04-13,07-15,13-16,Marine Parade Rd
15A,GAS,1,TRUNK,77009,83109,09-17,-,-,-,
17,GAS,1,TRUNK,77009,84009,08-11,10-12,10-11,11-15,
17,GAS,2,TRUNK,84009,77009,05-11,05-12,05-12,05-12,
17A,GAS,1,TRUNK,84009,84591,04-22,10-46,10-22,22-24,Bedok Nth Dr
2,GAS,1,TRUNK,99009,10499,10-10,09-16,09-18,14-18,
2,GAS,2,TRUNK,10499,99009,08-12,09-17,09-10,10-18,
2B,GAS,1,TRUNK,99009,84039,18-62,-,17-55,-,
3,GAS,1,TRUNK,75009,65009,07-11,09-14,08-09,12-14,
3,GAS,2,TRUNK,65009,75009,08-10,09-15,09-12,12-17,
34,GAS,1,TRUNK,65009,65009,4-9,4-15,9-13,11-14,PTB2 Basement
34A,GAS,1,TRUNK,65009,76059,19-40,22-38,-,-,PTB2 Basement
34B,GAS,1,TRUNK,75359,75351,-,-,-,-,
354,GAS,1,FEEDER,77009,77009,7-08,7-09,7-08,08-15,Jln Loyang Besar
358,GAS,1,FEEDER,77009,77009,05-07,07-08,05-07,05-13,Pasir Ris Dr 10
359,GAS,1,FEEDER,77009,77009,04-08,05-11,04-11,03-12,Pasir Ris St 71
359,GAS,2,FEEDER,77009,77009,04-08,05-11,04-11,03-12,Pasir Ris St 71
36,GAS,1,TRUNK,95129,95129,08-08,08-11,07-09,07-12,Tomlinson Rd
36A,GAS,1,TRUNK,95129,09191,-,-,-,-,
36B,GAS,1,TRUNK,93049,93199,08-08,08-288,08-135,-,
381,GAS,1,FEEDER,65009,65009,10-10,10-12,10-12,10-15,Punggol East
382,GAS,1,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
382,GAS,2,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
382A,GAS,1,FEEDER,65009,65531,-,-,-,24-24,
382G,GAS,1,FEEDER,65009,65009,8-08,8-10,8-10,8-12,Sumang Walk
382W,GAS,1,FEEDER,65009,65009,08-08,08-10,08-10,08-12,Sumang Walk
384,GAS,1,FEEDER,65009,65009,15-15,15-15,15-15,15-20,Northshore Dr
386,GAS,1,FEEDER,65009,65009,07-08,10-15,07-10,07-15,Punggol Ctrl
386A,GAS,1,FEEDER,65009,65371,-,-,22-40,25-30,
3A,GAS,1,TRUNK,75009,77331,-,68-68,-,12-12,
403,GAS,1,TRUNK,77009,77009,13-13,13-19,14-19,14-25,Pasir Ris Rd
43,GAS,1,TRUNK,65009,94009,09-10,13-16,13-15,15-16,
43,GAS,2,TRUNK,94009,65009,10-15,14-17,10-11,13-18,
43e,GAS,1,EXPRESS,65009,92051,15-20,20-20,-,-,
43e,GAS,2,EXPRESS,92059,65009,-,-,15-20,20-20,
43M,GAS,1,TRUNK,65009,65009,09-10,10-18,10-12,15-16,S'goon Ctrl
518,GAS,1,EXPRESS,77009,77009,10-20,15-20,15-20,13-20,Bayfront Ave
518A,GAS,1,EXPRESS,77009,03519,30-30,-,-,-,
6,GAS,1,TRUNK,77009,77009,07-08,07-17,07-08,08-08,Loyang Cres
62,GAS,1,TRUNK,65009,65009,07-09,08-17,09-14,14-25,Sims Ave
62A,GAS,1,TRUNK,65009,81089,00-00,00-00,28,28,Sims Ave
661,GAS,1,CITY_LINK,78111,03391,20-20,-,-,-,
661,GAS,2,CITY_LINK,03539,78119,-,-,15-15,-,
666,GAS,1,CITY_LINK,65309,03391,15-15,-,-,-,
666,GAS,2,CITY_LINK,03539,65301,-,-,15-15,-,
68,GAS,1,TRUNK,77009,77009,15-15,15-15,15-15,15-15,Tampines Ctrl 1
68A,GAS,1,TRUNK,75469,75009,15-16,-,-,-,
68B,GAS,1,TRUNK,75009,75461,-,-,14-15,-,
82,GAS,1,TRUNK,65009,65009,15-15,15-16,15-15,15-18,S'goon Ctrl
83,GAS,1,TRUNK,65009,65009,14-15,14-15,13-14,13-16,Sengkang Sq
83T,GAS,1,TRUNK,65009,67009,-,-,-,15-15,
84A,GAS,1,TRUNK,65009,65729,02-06,-,-,-,
84G,GAS,1,TRUNK,65009,65009,10-11,08-12,10-12,12-17,New Punggol Road
84W,GAS,1,TRUNK,65009,65009,12-12,08-12,07-08,07-15,New Punggol Road
85,GAS,1,TRUNK,65009,59009,09-15,09-16,09-10,14-18,
85,GAS,2,TRUNK,59009,65009,10-14,10-15,09-10,11-18,
85A,GAS,1,TRUNK,59009,67441,-,-,39-39,-,
10,SBST,1,TRUNK,75009,16009,09-09,07-16,10-17,15-17,
10,SBST,2,TRUNK,16009,75009,09-11,09-16,08-13,13-16,
100,SBST,1,TRUNK,66009,11009,06-12,05-20,10-13,13-15,
100,SBST,2,TRUNK,11009,66009,07-08,06-13,08-10,14-15,
100A,SBST,1,TRUNK,66009,81089,17-45,-,19-28,15-19,
101,SBST,1,TRUNK,66009,66009,08-09,07-13,08-09,08-14,Buangkok Cres
102,SBST,1,TRUNK,64009,64009,09-11,10-13,10-12,12-16,Seletar Aerospace Dr
102A,SBST,1,TRUNK,67409,67991,-,-,-,-,
102B,SBST,1,TRUNK,67999,67401,10-10,-,-,-,
103,SBST,1,TRUNK,66009,59009,10-13,10-14,11-15,16-16,
103,SBST,2,TRUNK,59009,66009,10-11,10-15,10-12,14-17,
105,SBST,1,TRUNK,66009,28009,09-11,07-13,12-14,11-14,
105,SBST,2,TRUNK,28009,66009,07-15,08-15,10-14,11-15,
105B,SBST,1,TRUNK,28009,17179,14-14,-,-,-,
107,SBST,1,TRUNK,64009,03239,07-10,10-17,11-16,18-18,
107,SBST,2,TRUNK,03239,64009,14-15,10-16,09-13,13-13,
107M,SBST,1,TRUNK,64009,64009,14-15,13-16,15-16,13-16,Raffles Blvd
109,SBST,1,TRUNK,66009,99009,09-14,10-15,15-19,11-18,
109,SBST,2,TRUNK,99009,66009,10-15,10-15,10-13,13-18,
109A,SBST,1,TRUNK,66009,64611,-,-,12-19,14-28,
10e,SBST,1,EXPRESS,85049,03217,10-14,-,-,-,
10e,SBST,2,EXPRESS,03222,85041,-,-,10-10,-,
11,SBST,1,TRUNK,80009,80009,15-17,15-19,15-19,15-25,Rhu Cross
111,SBST,1,TRUNK,11009,11009,09-11,11-13,10-11,10-14,Temasek Ave
112,SBST,1,TRUNK,64009,64009,11-15,11-16,12-15,14-18,Hougang St 92
112A,SBST,1,TRUNK,64009,63031,-,-,-,15-15,
113,SBST,1,TRUNK,64009,64009,12-14,11-16,15-16,11-15,Upp Paya Lebar Rd
113A,SBST,1,TRUNK,63039,63031,15-15,-,15-20,26-26,Upp Paya Lebar Rd
114,SBST,1,TRUNK,67601,67609,09-11,11-15,09-13,09-20,Buangkok Cres
114A,SBST,1,TRUNK,67601,66579,-,-,-,16-17,Buangkok Cres
115,SBST,1,TRUNK,63221,63221,15-15,15-19,15-19,15-15,Hougang Ave 3
116,SBST,1,TRUNK,64009,64009,09-11,09-13,09-10,09-14,S'goon Ctrl
116A,SBST,1,TRUNK,66439,66359,30-31,-,-,-,
117,SBST,1,TRUNK,65009,58009,13-13,11-15,-,14-15,
117,SBST,2,TRUNK,58009,65009,11-11,09-15,-,12-15,
117A,SBST,1,TRUNK,59779,59041,15-36,-,-,-,
117M,SBST,1,TRUNK,65009,58009,13-14,-,10-12,-,
117M,SBST,2,TRUNK,58009,65009,11-15,-,10-11,-,
120,SBST,1,TRUNK,10499,10499,13-15,14-16,15-15,15-18,Telok Blangah Hts
121,SBST,1,TRUNK,03239,03239,04-09,07-12,07-07,10-13,Telok Blangah Rise
122,SBST,1,TRUNK,10499,10499,13-15,13-17,14-20,20-25,C'wealth Dr
123,SBST,1,TRUNK,10009,14539,11-14,13-16,14-14,14-18,
123,SBST,2,TRUNK,14539,10009,12-12,12-15,14-15,15-17,
123M,SBST,1,TRUNK,14009,14009,11-11,11-15,10-11,13-14,Tiong Bahru Rd
124,SBST,1,TRUNK,52499,14009,07-09,08-13,07-12,10-13,
124,SBST,2,TRUNK,14009,52499,07-08,08-13,08-09,08-13,
125,SBST,1,TRUNK,52499,52499,11-12,10-18,10-16,15-18,Sims Dr
125A,SBST,1,TRUNK,81081,60219,09-12,-,-,-,
127,SBST,1,TRUNK,75009,75009,10-10,15-20,10-15,10-24,Tampines Ind Ave 5
127A,SBST,1,TRUNK,75009,75519,-,-,-,20-20,
129,SBST,1,TRUNK,74009,52499,12-12,12-16,12-15,15-23,
129,SBST,2,TRUNK,52499,74009,12-12,12-16,12-12,12-25,
129A,SBST,1,TRUNK,75229,62071,18-49,-,22-42,-,
129B,SBST,1,TRUNK,62099,75221,19-19,19-19,23-45,-,
13,SBST,1,TRUNK,55509,94009,09-10,08-14,12-13,13-17,
13,SBST,2,TRUNK,94009,55509,10-13,09-13,08-10,11-18,
130,SBST,1,TRUNK,54009,03239,08-10,10-15,11-16,15-17,
130,SBST,2,TRUNK,03239,54009,13-14,11-15,11-11,14-15,
131,SBST,1,TRUNK,52499,10009,06-11,09-14,09-12,11-14,
131,SBST,2,TRUNK,10009,52499,08-11,09-14,09-16,11-16,
131A,SBST,1,TRUNK,52499,03217,14-18,-,-,-,
132,SBST,1,TRUNK,64009,10009,11-16,12-19,14-18,14-19,
132,SBST,2,TRUNK,10009,64009,13-14,11-19,14-15,15-16,
133,SBST,1,TRUNK,54009,03239,08-09,08-14,08-12,11-13,
133,SBST,2,TRUNK,03239,54009,10-12,08-13,08-11,10-13,
134,SBST,1,TRUNK,80289,80289,10-10,11-13,11-13,11-12,Marine Terr
135,SBST,1,TRUNK,54009,83321,10-12,10-12,11-11,13-16,
135,SBST,2,TRUNK,83321,54009,09-12,10-12,11-12,12-15,
137,SBST,1,TRUNK,80289,94009,13-14,14-17,11-14,14-17,
137,SBST,2,TRUNK,94009,80289,12-13,11-17,10-17,15-17,
137A,SBST,1,TRUNK,84031,84451,15-18,-,-,-,
138,SBST,1,TRUNK,54009,54009,12-13,09-15,09-14,12-13,Mandai Lake Rd
138A,SBST,1,TRUNK,54009,48131,-,13-14,-,-,Mandai Lake Rd
138B,SBST,1,TRUNK,54009,55121,-,-,12-12,04-13,
139,SBST,1,TRUNK,52009,10009,09-10,13-15,10-12,14-17,
139,SBST,2,TRUNK,10009,52009,09-12,09-15,08-14,13-17,
139A,SBST,1,TRUNK,52009,52109,-,-,-,27-27,
13A,SBST,1,TRUNK,54019,53231,07-21,12-17,-,-,
14,SBST,1,TRUNK,84009,17009,10-11,10-16,14-15,14-25,
14,SBST,2,TRUNK,17009,84009,13-14,10-15,11-16,16-17,
140,SBST,1,TRUNK,80009,80009,14-14,14-15,15-15,14-15,St. Wilfred Rd
141,SBST,1,TRUNK,80009,52009,12-14,14-16,15-15,13-23,
141,SBST,2,TRUNK,52009,80009,12-12,11-16,11-16,15-25,
142,SBST,1,TRUNK,52009,52009,08-09,09-13,08-08,08-16,Potong Pasir Ave 1
142A,SBST,1,TRUNK,52009,60209,-,-,-,-,Potong Pasir Ave 1
145,SBST,1,TRUNK,52009,11379,07-08,07-15,09-10,13-14,
145,SBST,2,TRUNK,11379,52009,08-09,07-12,06-09,08-13,
145A,SBST,1,TRUNK,10209,14249,08-26,09-24,-,-,
146,SBST,1,TRUNK,62061,62069,12-12,15-15,12-15,12-15,Bidadari Pk Dr
147,SBST,1,TRUNK,64009,17009,08-10,10-13,10-12,09-12,
147,SBST,2,TRUNK,17009,64009,09-10,09-13,10-12,09-12,
147A,SBST,1,TRUNK,64009,05019,18-20,18-52,-,-,
14A,SBST,1,TRUNK,84009,09059,18-18,14-24,-,-,
14e,SBST,1,EXPRESS,84211,09048,12-13,-,-,-,
14e,SBST,2,EXPRESS,09048,84219,-,-,12-12,-,
150,SBST,1,TRUNK,82009,82009,12-12,14-15,11-15,12-24,Marine Terr
151,SBST,1,TRUNK,64009,16009,06-12,05-16,08-10,14-17,
151,SBST,2,TRUNK,16009,64009,07-13,06-17,07-09,09-20,
153,SBST,1,TRUNK,10009,64009,14-14,11-15,09-11,15-18,
153,SBST,2,TRUNK,64009,10009,10-15,13-16,13-14,17-18,
154,SBST,1,TRUNK,22009,82009,05-10,06-11,07-10,11-17,
154,SBST,2,TRUNK,82009,22009,11-13,06-13,08-11,11-15,
154A,SBST,1,TRUNK,21551,28091,19-22,-,-,-,
154B,SBST,1,TRUNK,22009,12101,11-19,-,-,-,
155,SBST,1,TRUNK,52009,84009,10-15,09-16,15-17,14-17,
155,SBST,2,TRUNK,84009,52009,10-13,09-18,10-15,15-18,
156,SBST,1,TRUNK,67009,17009,10-15,10-18,11-16,14-22,
156,SBST,2,TRUNK,17009,67009,12-14,10-18,12-18,15-23,
157,SBST,1,TRUNK,52009,22009,10-11,08-14,07-10,12-15,
157,SBST,2,TRUNK,22009,52009,08-13,07-14,08-11,11-13,
158,SBST,1,TRUNK,66009,66009,12-15,12-17,13-15,16-24,Rhu Cross
158A,SBST,1,TRUNK,81089,81081,26-26,-,-,-,Rhu Cross
159,SBST,1,TRUNK,67009,52009,10-12,06-12,09-11,09-16,
159,SBST,2,TRUNK,52009,67009,12-14,09-13,05-11,10-16,
159A,SBST,1,TRUNK,67009,54399,11-23,14-17,-,-,
159B,SBST,1,TRUNK,54391,54481,06-53,-,-,-,
16,SBST,1,TRUNK,84009,10009,17-18,09-26,10-12,11-13,
16,SBST,2,TRUNK,10009,84009,08-12,19-26,07-13,10-13,
160,SBST,1,TRUNK,29009,29009,15-20,12-20,14-15,15-20,Jln Jim Quee
160A,SBST,1,TRUNK,29009,43671,09-49,05-44,12-19,16-51,
161,SBST,1,TRUNK,64009,46009,05-10,07-13,08-09,09-14,
161,SBST,2,TRUNK,46009,64009,06-10,08-13,06-08,07-13,
162,SBST,1,TRUNK,55509,55509,11-11,14-17,15-15,15-22,Sin Ming Dr
162,SBST,2,TRUNK,,,13-14,14-17,15-18,18-18,Sin Ming Dr
163,SBST,1,TRUNK,67009,52009,13-15,12-15,13-18,14-16,
163,SBST,2,TRUNK,52009,67009,14-14,12-16,12-15,13-17,
163A,SBST,1,TRUNK,67009,67651,-,-,-,16-17,
163B,SBST,1,TRUNK,67009,55039,66-66,-,-,-,
165,SBST,1,TRUNK,64009,17009,09-12,11-14,12-13,12-16,
165,SBST,2,TRUNK,17009,64009,10-11,11-14,10-13,13-16,
166,SBST,1,TRUNK,54009,17009,09-10,09-18,10-14,14-18,
166,SBST,2,TRUNK,17009,54009,10-12,08-16,11-18,15-19,
168,SBST,1,TRUNK,84009,46009,05-07,06-12,05-09,11-13,
168,SBST,2,TRUNK,46009,84009,05-07,06-12,07-09,09-13,
168A,SBST,1,TRUNK,46009,76149,-,-,14-14,-,
16M,SBST,1,TRUNK,84009,10009,17-18,18-26,-,-,
16M,SBST,2,TRUNK,10009,84009,-,19-26,-,-,
170,SBST,1,TRUNK,01109,46239,15-20,15-20,15-18,18-20,
170,SBST,2,TRUNK,46239,01109,15-20,15-20,15-18,20-20,
170X,SBST,1,TRUNK,45131,47711,02-09,03-09,05-08,02-11,
170X,SBST,2,TRUNK,47711,45139,-,04-09,-,08-11,
174,SBST,1,TRUNK,22009,10499,09-10,04-14,08-18,13-18,
174,SBST,2,TRUNK,10499,22009,13-15,07-14,13-16,14-16,
174e,SBST,1,EXPRESS,22009,10499,13-13,-,-,-,
174e,SBST,2,EXPRESS,10499,22009,-,-,13-14,-,
175,SBST,1,TRUNK,17009,80009,10-15,10-20,15-20,20-23,
175,SBST,2,TRUNK,80009,17009,11-12,12-19,11-20,19-22,
18,SBST,1,TRUNK,74009,84299,07-16,15-16,15-16,16-25,
18,SBST,2,TRUNK,84299,74009,12-15,12-16,14-15,15-22,
186,SBST,1,TRUNK,03239,52499,15-17,11-18,11-14,11-22,
186,SBST,2,TRUNK,52499,03239,09-14,12-18,13-18,17-25,
19,SBST,1,TRUNK,75009,75009,06-07,07-16,06-09,09-14,Airport Cargo Rd
191,SBST,1,TRUNK,11379,11379,15-20,15-20,15-15,20-20,Portsdown Rd
195,SBST,1,TRUNK,02101,02089,10-15,09-16,10-15,14-15,C'wealth Ave
195A,SBST,1,TRUNK,02101,10169,-,10-10,-,-,C'wealth Ave
196,SBST,1,TRUNK,84009,17009,07-08,07-13,10-14,13-23,
196,SBST,2,TRUNK,17009,84009,11-13,05-12,08-10,11-24,
196A,SBST,1,TRUNK,84009,03218,-,-,-,-,
196e,SBST,1,EXPRESS,93049,03218,08-08,-,-,-,
196e,SBST,2,EXPRESS,03222,93041,-,-,08-08,-,
197,SBST,1,TRUNK,84009,28009,11-12,11-18,13-15,14-16,
197,SBST,2,TRUNK,28009,84009,09-13,11-14,10-14,13-16,
198,SBST,1,TRUNK,22009,10009,05-06,08-12,08-09,05-15,
198,SBST,2,TRUNK,10009,22009,07-08,05-12,07-10,11-16,
198A,SBST,1,TRUNK,22009,28459,-,-,08-17,08-18,
20,SBST,1,TRUNK,75009,75009,09-10,10-16,09-13,13-22,Changi Business Pk Ave 3
200,SBST,1,TRUNK,11379,11379,10-11,09-17,10-12,16-23,Clementi Rd
200A,SBST,1,TRUNK,11379,16009,-,-,-,-,Clementi Rd
201,SBST,1,TRUNK,16009,16009,09-11,08-13,10-13,10-14,Pandan Gdns
20A,SBST,1,TRUNK,96139,96301,39-39,-,-,-,Changi Business Pk Ave 3
21,SBST,1,TRUNK,77009,52499,07-12,11-14,12-16,14-16,
21,SBST,2,TRUNK,52499,77009,10-13,08-14,08-16,12-16,
21A,SBST,1,TRUNK,80089,07231,-,-,09-22,-,
22,SBST,1,TRUNK,54009,82009,09-10,09-15,09-10,12-22,
22,SBST,2,TRUNK,82009,54009,09-10,09-16,09-10,09-25,
222,SBST,1,FEEDER,84009,84009,04-06,04-10,05-06,08-14,Chai Chee Dr
