Line Name,Type,Sequence,Station Code,Station Name,Transfer,Build Start,Opening Date,Closed Date,Lantitude,Longitude,Others
Bukit Panjang LRT Line,LRT,1,BP1/NS4,Choa Chu Kang,Standard,,Before 2020,,1.38520,103.74438,
Bukit Panjang LRT Line,LRT,2,BP2,South View,,,Before 2020,,1.38027,103.74529,
Bukit Panjang LRT Line,LRT,3,BP3,Keat Hong,,,Before 2020,,1.37860,103.74903,
Bukit Panjang LRT Line,LRT,4,BP4,Teck Whye,,,Before 2020,,1.37666,103.75364,
Bukit Panjang LRT Line,LRT,5,BP5,Phoenix,,,Before 2020,,1.37861,103.75801,
Bukit Panjang LRT Line,LRT,6,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Bukit Panjang LRT Line Cycle,LRT,1,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Bukit Panjang LRT Line Cycle,LRT,2,BP7,Petir,,,Before 2020,,1.37777,103.76663,
Bukit Panjang LRT Line Cycle,LRT,3,BP8,Pending,,,Before 2020,,1.37617,103.77126,
Bukit Panjang LRT Line Cycle,LRT,4,BP9,Bangkit,,,Before 2020,,1.38006,103.77264,
Bukit Panjang LRT Line Cycle,LRT,5,BP10,Fajar,,,Before 2020,,1.38454,103.77080,
Bukit Panjang LRT Line Cycle,LRT,6,BP11,Segar,,,Before 2020,,1.38779,103.76959,
Bukit Panjang LRT Line Cycle,LRT,7,BP12,Jelapang,,,Before 2020,,1.38667,103.76451,
Bukit Panjang LRT Line Cycle,LRT,8,BP13,Senja,,,Before 2020,,1.38268,103.76238,
Bukit Panjang LRT Line Cycle,LRT,9,BP6-DT1,Bukit Panjang,Tap Out,,Before 2020,,1.37823,103.76256,
Punggol LRT Line East,LRT,1,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line East,LRT,2,PW1,Sam Kee,,,Before 2020,,1.40973,103.90490,
Punggol LRT Line East,LRT,3,PW2,Teck Lee,,,None,,,,
Punggol LRT Line East,LRT,4,PW3,Punggol Point,,,Before 2020,,1.41688,103.90664,
Punggol LRT Line East,LRT,5,PW4,Samudera,,,Before 2020,,1.41595,103.90216,
Punggol LRT Line East,LRT,6,PW5,Nibong,,,Before 2020,,1.41189,103.90036,
Punggol LRT Line East,LRT,7,PW6,Sumang,,,Before 2020,,1.40848,103.89859,
Punggol LRT Line East,LRT,8,PW7,Soo Teck,,,Before 2020,,1.40541,103.89727,
Punggol LRT Line East,LRT,9,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line West,LRT,1,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Punggol LRT Line West,LRT,2,PE1,Cove,,,Before 2020,,1.39947,103.90586,
Punggol LRT Line West,LRT,3,PE2,Meridian,,,Before 2020,,1.39699,103.90887,
Punggol LRT Line West,LRT,4,PE3,Coral Edge,,,Before 2020,,1.39389,103.91263,
Punggol LRT Line West,LRT,5,PE4,Riviera,,,Before 2020,,1.39455,103.91611,
Punggol LRT Line West,LRT,6,PE5,Kadaloor,,,Before 2020,,1.39961,103.91644,
Punggol LRT Line West,LRT,7,PE6,Oasis,,,Before 2020,,1.40232,103.91268,
Punggol LRT Line West,LRT,8,PE7,Damai,,,Before 2020,,1.40528,103.90856,
Punggol LRT Line West,LRT,9,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
Sengkang LRT Line East,LRT,1,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line East,LRT,2,SE1,Compassvale,,,Before 2020,,1.39447,103.90051,
Sengkang LRT Line East,LRT,3,SE2,Rumbia,,,Before 2020,,1.39147,103.90597,
Sengkang LRT Line East,LRT,4,SE3,Bakau,,,Before 2020,,1.38808,103.90545,
Sengkang LRT Line East,LRT,5,SE4,Kangkar,,,Before 2020,,1.38393,103.90220,
Sengkang LRT Line East,LRT,6,SE5,Ranggung,,,Before 2020,,1.38396,103.89742,
Sengkang LRT Line East,LRT,7,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line West,LRT,1,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Sengkang LRT Line West,LRT,2,SW1,Cheng Lim,,,Before 2020,,1.39627,103.89381,
Sengkang LRT Line West,LRT,3,SW2,Farmway,,,Before 2020,,1.39719,103.88924,
Sengkang LRT Line West,LRT,4,SW3,Kupang,,,Before 2020,,1.39820,103.88122,
Sengkang LRT Line West,LRT,5,SW4,Thanggam,,,Before 2020,,1.39735,103.87563,
Sengkang LRT Line West,LRT,6,SW5,Fernvale,,,Before 2020,,1.39197,103.87624,
Sengkang LRT Line West,LRT,7,SW6,Layar,,,Before 2020,,1.39213,103.88014,
Sengkang LRT Line West,LRT,8,SW7,Tongkang,,,Before 2020,,1.38943,103.88578,
Sengkang LRT Line West,LRT,9,SW8,Renjong,,,Before 2020,,1.38674,103.89051,
Sengkang LRT Line West,LRT,10,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
Circle Line,MRT,1,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,1.29923,103.84582,
Circle Line,MRT,2,CC2,Bras Basah,,,Before 2020,,1.29687,103.85058,
Circle Line,MRT,3,CC3,Esplanade,,,Before 2020,,1.29338,103.85576,
Circle Line,MRT,4,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Circle Line,MRT,5,CC5,Nicoll Highway,,,Before 2020,,1.29968,103.86358,
Circle Line,MRT,6,CC6,Stadium,,,Before 2020,,1.30287,103.87542,
Circle Line,MRT,7,CC7,Mountbatten,,,Before 2020,,1.30623,103.88252,
Circle Line,MRT,8,CC8,Dakota,,,Before 2020,,1.30840,103.88866,
Circle Line,MRT,9,CC9/EW8,Paya Lebar,Standard,,Before 2020,,1.31779,103.89256,
Circle Line,MRT,10,CC10/DT26,MacPherson,Standard,,Before 2020,,1.32636,103.88988,
Circle Line,MRT,11,CC11,Tai Seng,,,Before 2020,,1.33544,103.88832,
Circle Line,MRT,12,CC12,Bartley,,,Before 2020,,1.34286,103.87973,
Circle Line,MRT,13,CC13/NE12,Serangoon,Standard,,Before 2020,,1.35015,103.87292,
Circle Line,MRT,14,CC14,Lorong Chuan,,,Before 2020,,1.35161,103.86414,
Circle Line,MRT,15,CC15/NS17,Bishan,Standard,,Before 2020,,1.35136,103.84837,
Circle Line,MRT,16,CC16,Marymount,,,Before 2020,,1.34904,103.83938,
Circle Line,MRT,17,CC17/TE9,Caldecott,Standard,,Before 2020,,1.33743,103.83994,
Circle Line,MRT,18,CC18,Bukit Brown,,,None,,,,
Circle Line,MRT,19,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,1.32227,103.81550,
Circle Line,MRT,20,CC20,Farrer Road,,,Before 2020,,1.31741,103.80755,
Circle Line,MRT,21,CC21,Holland Village,,,Before 2020,,1.31240,103.79620,
Circle Line,MRT,22,CC22/EW21,Buona Vista,Standard,,Before 2020,,1.30687,103.79029,
Circle Line,MRT,23,CC23,one-north,,,Before 2020,,1.29937,103.78712,
Circle Line,MRT,24,CC24,Kent Ridge,,,Before 2020,,1.29372,103.78452,
Circle Line,MRT,25,CC25,Haw Par Villa,,,Before 2020,,1.28268,103.78175,
Circle Line,MRT,26,CC26,Pasir Panjang,,,Before 2020,,1.27619,103.79155,
Circle Line,MRT,27,CC27,Labrador Park,,,Before 2020,,1.27232,103.80278,
Circle Line,MRT,28,CC28,Telok Blangah,,,Before 2020,,1.27063,103.80981,
Circle Line,MRT,29,CC29/NE1,HarbourFront,Standard,,Before 2020,,1.26535,103.82249,
Circle Line Extension,MRT,1,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Circle Line Extension,MRT,2,CE1/DT16,Bayfront,Standard,,Before 2020,,1.28181,103.85908,
Circle Line Extension,MRT,3,CE2/NS27/TE20,Marina Bay,Standard,,Before 2020,,1.27525,103.85519,
Downtown Line,MRT,1,BP6-DT1,Bukit Panjang,,,Before 2020,,1.37823,103.76256,
Downtown Line,MRT,2,DT2,Cashew,,,Before 2020,,1.36955,103.76461,
Downtown Line,MRT,3,DT3,Hillview,,,Before 2020,,1.36265,103.76712,
Downtown Line,MRT,4,DT4,Hume,,,None,,,,
Downtown Line,MRT,5,DT5,Beauty World,,,Before 2020,,1.34132,103.77600,
Downtown Line,MRT,6,DT6,King Albert Park,,,Before 2020,,1.33602,103.78357,
Downtown Line,MRT,7,DT7,Sixth Avenue,,,Before 2020,,1.33069,103.79721,
Downtown Line,MRT,8,DT8,Tan Kah Kee,,,Before 2020,,1.32603,103.80700,
Downtown Line,MRT,9,CC19/DT9,Botanic Gardens,Standard,,Before 2020,,1.32227,103.81550,
Downtown Line,MRT,10,DT10/TE11,Stevens,Standard,,Before 2020,,1.31977,103.82576,
Downtown Line,MRT,11,DT11-NS21,Newton,Tap Out,,Before 2020,,1.31317,103.83827,
Downtown Line,MRT,12,DT12/NE7,Little India,Standard,,Before 2020,,1.30704,103.84944,
Downtown Line,MRT,13,DT13,Rochor,,,Before 2020,,1.30399,103.85261,
Downtown Line,MRT,14,DT14/EW12,Bugis,Standard,,Before 2020,,1.30011,103.85633,
Downtown Line,MRT,15,CC4/DT15,Promenade,Standard,,Before 2020,,1.29265,103.86106,
Downtown Line,MRT,16,CE1/DT16,Bayfront,Standard,,Before 2020,,1.28181,103.85908,
Downtown Line,MRT,17,DT17,Downtown,,,Before 2020,,1.27945,103.85281,
Downtown Line,MRT,18,DT18,Telok Ayer,,,Before 2020,,1.28225,103.84849,
Downtown Line,MRT,19,DT19/NE4,Chinatown,Standard,,Before 2020,,1.28456,103.84365,
Downtown Line,MRT,20,DT20,Fort Canning,,,Before 2020,,1.29235,103.84437,
Downtown Line,MRT,21,DT21,Bencoolen,,,Before 2020,,1.29828,103.84981,
Downtown Line,MRT,22,DT22,Jalan Besar,,,Before 2020,,1.30552,103.85543,
Downtown Line,MRT,23,DT23,Bendemeer,,,Before 2020,,1.31326,103.86262,
Downtown Line,MRT,24,DT24,Geylang Bahru,,,Before 2020,,1.32153,103.87185,
Downtown Line,MRT,25,DT25,Mattar,,,Before 2020,,1.32694,103.88293,
Downtown Line,MRT,26,CC10/DT26,MacPherson,Standard,,Before 2020,,1.32636,103.88988,
Downtown Line,MRT,27,DT27,Ubi,,,Before 2020,,1.32988,103.89934,
Downtown Line,MRT,28,DT28,Kaki Bukit,,,Before 2020,,1.33488,103.90818,
Downtown Line,MRT,29,DT29,Bedok North,,,Before 2020,,1.33459,103.91811,
Downtown Line,MRT,30,DT30,Bedok Reservoir,,,Before 2020,,1.33645,103.93211,
Downtown Line,MRT,31,DT31,Tampines West,,,Before 2020,,1.34552,103.93849,
Downtown Line,MRT,32,DT32-EW2,Tampines,Tap Out,,Before 2020,,1.35419,103.94408,
Downtown Line,MRT,33,DT33,Tampines East,,,Before 2020,,1.35613,103.95486,
Downtown Line,MRT,34,DT34,Upper Changi,,,Before 2020,,1.34170,103.96140,
Downtown Line,MRT,35,DT35,Expo,,,Before 2020,,1.33503,103.96192,
East-West Line,MRT,1,EW1,Pasir Ris,,,Before 2020,,1.37308,103.94928,
East-West Line,MRT,2,DT32-EW2,Tampines,Tap Out,,Before 2020,,1.35419,103.94408,
East-West Line,MRT,3,EW3,Simei,,,Before 2020,,1.34320,103.95337,
East-West Line,MRT,4,CG/EW4,Tanah Merah,Standard,,Before 2020,,1.32720,103.94653,
East-West Line,MRT,5,EW5,Bedok,,,Before 2020,,1.32403,103.93016,
East-West Line,MRT,6,EW6,Kembangan,,,Before 2020,,1.32103,103.91294,
East-West Line,MRT,7,EW7,Eunos,,,Before 2020,,1.31979,103.90291,
East-West Line,MRT,8,CC9/EW8,Paya Lebar,Standard,,Before 2020,,1.31779,103.89256,
East-West Line,MRT,9,EW9,Aljunied,,,Before 2020,,1.31644,103.88289,
East-West Line,MRT,10,EW10,Kallang,,,Before 2020,,1.31147,103.87135,
East-West Line,MRT,11,EW11,Lavender,,,Before 2020,,1.30747,103.86287,
East-West Line,MRT,12,DT14/EW12,Bugis,Standard,,Before 2020,,1.30011,103.85633,
East-West Line,MRT,13,EW13/NS25,City Hall,Standard,,Before 2020,,1.29308,103.85268,
East-West Line,MRT,14,EW14/NS26,Raffles Place,Standard,,Before 2020,,1.28437,103.85150,
East-West Line,MRT,15,EW15,Tanjong Pagar,,,Before 2020,,1.27662,103.84578,
East-West Line,MRT,16,EW16/NE3/TE17,Outram Park,Standard,,Before 2020,,1.28098,103.83929,
East-West Line,MRT,17,EW17,Tiong Bahru,,,Before 2020,,1.28620,103.82683,
East-West Line,MRT,18,EW18,Redhill,,,Before 2020,,1.28965,103.81675,
East-West Line,MRT,19,EW19,Queenstown,,,Before 2020,,1.29469,103.80600,
East-West Line,MRT,20,EW20,Commonwealth,,,Before 2020,,1.30248,103.79827,
East-West Line,MRT,21,CC22/EW21,Buona Vista,Standard,,Before 2020,,1.30687,103.79029,
East-West Line,MRT,22,EW22,Dover,,,Before 2020,,1.31140,103.77859,
East-West Line,MRT,23,EW23,Clementi,,,Before 2020,,1.31512,103.76522,
East-West Line,MRT,24,EW24/NS1,Jurong East,Standard,,Before 2020,,1.33312,103.74230,
East-West Line,MRT,25,EW25,Chinese Garden,,,Before 2020,,1.34240,103.73256,
East-West Line,MRT,26,EW26,Lakeside,,,Before 2020,,1.34425,103.72069,
East-West Line,MRT,27,EW27,Boon Lay,,,Before 2020,,1.33851,103.70574,
East-West Line,MRT,28,EW28,Pioneer,,,Before 2020,,1.33758,103.69739,
East-West Line,MRT,29,EW29,Joo Koon,,,Before 2020,,1.32772,103.67818,
East-West Line,MRT,30,EW30,Gul Circle,,,Before 2020,,1.31957,103.66065,
East-West Line,MRT,31,EW31,Tuas Crescent,,,Before 2020,,1.32113,103.64895,
East-West Line,MRT,32,EW32,Tuas West Road,,,Before 2020,,1.33004,103.63959,
East-West Line,MRT,33,EW33,Tuas Link,,,Before 2020,,1.33974,103.63660,
East-West Line Changi Airport Extension ,MRT,1,CG/EW4,Tanah Merah,Standard,,Before 2020,,1.32720,103.94653,
East-West Line Changi Airport Extension ,MRT,2,CG1,Expo,,,Before 2020,,1.33503,103.96192,
East-West Line Changi Airport Extension ,MRT,3,CG2,Changi Airport,,,Before 2020,,1.35730,103.98858,
North East Line,MRT,1,CC29/NE1,HarbourFront,Standard,,Before 2020,,1.26535,103.82249,
North East Line,MRT,2,NE2,,,,None,,,,
North East Line,MRT,3,EW16/NE3/TE17,Outram Park,Standard,,Before 2020,,1.28098,103.83929,
North East Line,MRT,4,DT19/NE4,Chinatown,Standard,,Before 2020,,1.28456,103.84365,
North East Line,MRT,5,NE5,Clarke Quay,,,Before 2020,,1.28873,103.84661,
North East Line,MRT,6,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,1.29923,103.84582,
North East Line,MRT,7,DT12/NE7,Little India,Standard,,Before 2020,,1.30704,103.84944,
North East Line,MRT,8,NE8,Farrer Park,,,Before 2020,,1.31258,103.85421,
North East Line,MRT,9,NE9,Boon Keng,,,Before 2020,,1.31990,103.86172,
North East Line,MRT,10,NE10,Potong Pasir,,,Before 2020,,1.33125,103.86906,
North East Line,MRT,11,NE11,Woodleigh,,,Before 2020,,1.33897,103.87071,
North East Line,MRT,12,CC13/NE12,Serangoon,Standard,,Before 2020,,1.35015,103.87292,
North East Line,MRT,13,NE13,Kovan,,,Before 2020,,1.36011,103.88501,
North East Line,MRT,14,NE14,Hougang,,,Before 2020,,1.37139,103.89257,
North East Line,MRT,15,NE15,Buangkok,,,Before 2020,,1.38243,103.89302,
North East Line,MRT,16,NE16/STC,Sengkang,Standard,,Before 2020,,1.39165,103.89539,
North East Line,MRT,17,NE17/PTC,Punggol,Standard,,Before 2020,,1.40525,103.90237,
North-South Line,MRT,1,EW24/NS1,Jurong East,Standard,,Before 2020,,1.33312,103.74230,
North-South Line,MRT,2,NS2,Bukit Batok,,,Before 2020,,1.34899,103.74954,
North-South Line,MRT,3,NS3,Bukit Gombak,,,Before 2020,,1.35892,103.75182,
North-South Line,MRT,4,BP1/NS4,Choa Chu Kang,Standard,,Before 2020,,1.38520,103.74438,
North-South Line,MRT,5,NS5,Yew Tee,,,Before 2020,,1.39755,103.74743,
North-South Line,MRT,6,NS6,Sungei Kadut,,,None,,,,
North-South Line,MRT,7,NS7,Kranji,,,Before 2020,,1.42521,103.76201,
North-South Line,MRT,8,NS8,Marsiling,,,Before 2020,,1.43255,103.77409,
North-South Line,MRT,9,NS9/TE2,Woodlands,Standard,,Before 2020,,1.43686,103.78620,
North-South Line,MRT,10,NS10,Admiralty,,,Before 2020,,1.44063,103.80097,
North-South Line,MRT,11,NS11,Sembawang,,,Before 2020,,1.44906,103.82002,
North-South Line,MRT,12,NS12,Canberra,,,Before 2020,,1.44325,103.82959,
North-South Line,MRT,13,NS13,Yishun,,,Before 2020,,1.42938,103.83504,
North-South Line,MRT,14,NS14,Khatib,,,Before 2020,,1.41732,103.83300,
North-South Line,MRT,15,NS15,Yio Chu Kang,,,Before 2020,,1.38178,103.84494,
North-South Line,MRT,16,NS16,Ang Mo Kio,,,Before 2020,,1.37007,103.84951,
North-South Line,MRT,17,CC15/NS17,Bishan,Standard,,Before 2020,,1.35136,103.84837,
North-South Line,MRT,18,NS18,Braddell,,,Before 2020,,1.34060,103.84677,
North-South Line,MRT,19,NS19,Toa Payoh,,,Before 2020,,1.33237,103.84759,
North-South Line,MRT,20,NS20,Novena,,,Before 2020,,1.32007,103.84351,
North-South Line,MRT,21,DT11-NS21,Newton,Tap Out,,Before 2020,,1.31317,103.83827,
North-South Line,MRT,22,NS22/TE14,Orchard,Standard,,Before 2020,,1.30307,103.83182,
North-South Line,MRT,23,NS23,Somerset,,,Before 2020,,1.30028,103.83853,
North-South Line,MRT,24,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,1.29923,103.84582,
North-South Line,MRT,25,EW13/NS25,City Hall,Standard,,Before 2020,,1.29308,103.85268,
North-South Line,MRT,26,EW14/NS26,Raffles Place,Standard,,Before 2020,,1.28437,103.85150,
North-South Line,MRT,27,CE2/NS27/TE20,Marina Bay,Standard,,Before 2020,,1.27525,103.85519,
North-South Line,MRT,28,NS28,Marina South Pier,,,Before 2020,,1.27171,103.86275,
Thomson-East Coast Line,MRT,1,TE1,Woodlands North,,,2020-01-31,,1.44835,103.78576,
Thomson-East Coast Line,MRT,2,NS9/TE2,Woodlands,Standard,,2020-01-31,,1.43686,103.78620,
Thomson-East Coast Line,MRT,3,TE3,Woodlands South,,,2020-01-31,,1.42731,103.79380,
Thomson-East Coast Line,MRT,4,TE4,Springleaf,,,2021-08-28,,1.39818,103.81805,
Thomson-East Coast Line,MRT,5,TE5,Lentor,,,2021-08-28,,1.38491,103.83663,
Thomson-East Coast Line,MRT,6,TE6,Mayflower,,,2021-08-28,,1.37246,103.83696,
Thomson-East Coast Line,MRT,7,TE7,Bright Hill,,,2021-08-28,,1.36374,103.83344,
Thomson-East Coast Line,MRT,8,TE8,Upper Thomson,,,2021-08-28,,1.35460,103.83269,
Thomson-East Coast Line,MRT,9,CC17/TE9,Caldecott,Standard,,2021-08-28,,1.33743,103.83994,
Thomson-East Coast Line,MRT,10,TE10,Mount Pleasant,,,None,,,,
Thomson-East Coast Line,MRT,11,DT10/TE11,Stevens,Standard,,2022-11-13,,1.31977,103.82576,
Thomson-East Coast Line,MRT,12,TE12,Napier,,,2022-11-13,,1.30695,103.81883,
Thomson-East Coast Line,MRT,13,TE13,Orchard Boulevard,,,2022-11-13,,1.30255,103.82396,
Thomson-East Coast Line,MRT,14,NS22/TE14,Orchard,Standard,,2022-11-13,,1.30307,103.83182,
Thomson-East Coast Line,MRT,15,TE15,Great World,,,2022-11-13,,1.29479,103.83362,
Thomson-East Coast Line,MRT,16,TE16,Havelock,,,2022-11-13,,1.28806,103.83368,
Thomson-East Coast Line,MRT,17,EW16/NE3/TE17,Outram Park,Standard,,2022-11-13,,1.28098,103.83929,
Thomson-East Coast Line,MRT,18,TE18,Maxwell,,,2022-11-13,,1.28056,103.84391,
Thomson-East Coast Line,MRT,19,TE19,Shenton Way,,,2022-11-13,,1.27779,103.85063,
Thomson-East Coast Line,MRT,20,CE2/NS27/TE20,Marina Bay,Standard,,2022-11-13,,1.27525,103.85519,
Thomson-East Coast Line,MRT,21,TE21,Marina South,,,None,,,,
Thomson-East Coast Line,MRT,22,TE22,Gardens by the Bay,,,2022-11-13,,1.27923,103.86803,
